,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
265,Roadwork,6.99,3.0,28.0,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,28.0
266,Hey Diddle Diddle,3.99,2.0,10.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,10.0
267,Disney Storybook (eBook) -  Mickey Mouse Clubhouse: Mickey and Donald Have a Farm,4.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
268,The Saddest Toilet in the World,12.29,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
269,Counting Kisses,12.29,2.0,26.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,26.0
270,La ferme,4.99,3.0,32.0,,no reviews,Frans,vanaf 3 jaar,,,3.5,3.5,32.0
271,Rêve !,1.99,,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
272,A Wish Book - The Reindeer Wish,5.99,2.0,48.0,,"5,0/5 (1 review)",Engels,vanaf 3 jaar,5.0,1.0,3.5,3.5,48.0
273,Step into Reading - Spring Surprises,4.99,2.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
274,Flora and the Ostrich,9.8,3.0,20.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,20.0
275,Breadsticks & Bow-Bow 1 -  The Alphabet Adventure,3.26,2.0,,28.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
276,Leo Goes to the Mountain,9.81,2.0,42.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,42.0
277,One Patch of Blue,7.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
278,The Trouble with Trains,0.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
279,Today I'm a... -  Today I'm a Dancer,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
280,Richard Scarry's Best Busy Year Ever,7.99,2.0,,72.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,72.0
281,Little Blossom Stories -  Peg and Meg,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
282,Little Blossom Stories -  Mud on the Van,8.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
283,Grandma's Tiny House,6.99,5.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
284,Late Kate,15.16,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
285,My Reading Neighborhood: First-Grade Sight Word Stories - A Party with Joe,4.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
286,Whose Bum? Read-Along,8.99,5.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
287,POKO,2.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
288,Augustus and His Smile,6.99,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
289,My Teacher Hilda -  The Lemonade Stand,2.7,2.0,,38.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,38.0
290,Quelle heure est-il ailleurs ?,3.15,,,,no reviews,Frans,vanaf 3 jaar,,,3.5,3.5,
291,7 Gutenacht-Geschichten aus dem Leben von Oemmel & Boemmel,6.49,2.0,,68.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,68.0
292,Canada Concepts - Canada All Year,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
293,One Piece of String,7.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
294,One to Ten… Animal Mayhem,5.99,2.0,,24.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
295,Spuk im Reihenhaus,3.49,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
296,A is for Apex,3.99,2.0,,60.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,60.0
297,Veggies with Wedgies Present Doin' the Wedgie,8.94,,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
298,Little Blossom Stories -  The Case of the Lost Pup,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
299,Rabbits in the Snow: A Book of Opposites,6.99,,,,no reviews,Engels,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
300,Bob Books Rhyming Words,8.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
301,"If You Give... - Merry Christmas, Mouse!",5.99,2.0,20.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,20.0
302,Little Golden Book - Where Do Giggles Come From?,4.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
303,Little Blossom Stories - The Case of the Lost Hen,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
304,The Eensy Weensy Spider Freaks Out! (Big-Time!),7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
305,I See I Learn 24 - Carlos escribe su nombre,10.99,,,,no reviews,Spaans,vanaf 2 jaar,,,2.5,2.5,
306,Prinzessin Eva Europa 2 -  Prinzessin Eva Europa,4.99,2.0,,78.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,78.0
307,Little Owl - Little Owl's 1-2-3,5.99,2.0,18.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,18.0
308,Feel Brave Series 0 -  The Wolf is Not Invited,8.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
309,My Digger Is Bigger,5.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
310,My First I Can Read - Huff and Puff Sing Along,2.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
311,Ten Little Robots,3.99,4.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
312,Zauberzwerggeschichten,9.99,2.0,,118.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,118.0
313,Ladybird Tales: Aladdin,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
314,School of Roars 1 -  Bestest Friends,4.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
315,Klein Osterhäschen und sein schnatternder Stummelschwanz,0.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
316,Baby's First Holidays - Baby's First Christmas,3.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
317,Traumoase,6.49,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
318,ESPASA JUVENIL -  ¿Quién cuenta las estrellas?,8.99,,,,no reviews,Spaans,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,
319,"One Potato, Two Potato",11.17,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
320,Sunshine and Ice Cream,2.99,2.0,,30.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
321,My First Bob Books: Alphabet,8.99,4.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
322,10 Little Hermit Crabs,8.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
323,What Do You Wear?,4.35,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
324,Curious George -  Curious George Christmas Countdown,8.99,3.0,14.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,14.0
325,Mouse Math -  The Right Place for Albert,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
326,Bino Biber und seine Freunde,6.49,2.0,,58.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,58.0
327,"Up Hamster, Down Hamster",7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
328,A Day with Nellie,10.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
329,MIS Amiguitos Revoltosos,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
330,Hugo and Bella -  I Totally Don't Want to Play!,7.99,,,,no reviews,Engels,"vanaf 1 jaar, vanaf 3 jaar",,,"1.5, 3.5",2.5,
331,Where Are You?,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
332,Dirty Birdies,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
333,I Can Read 1 - The Berenstain Bears: All Aboard!,2.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
334,We're in the Wrong Book!,7.99,2.0,,32.0,no reviews,Engels,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,32.0
335,First Times,9.99,5.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
336,Es rappelt in der Werkzeugkiste,4.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
337,My Reading Neighborhood: First-Grade Sight Word Stories -  School for Ken,4.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
338,Topsy and Tim: Meet Father Christmas,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
339,Bright & Early Books(R) -  There's a Wocket in my Pocket,6.99,3.0,24.0,32.0,"4,5/5 (2 reviews)",Engels,vanaf 2 jaar,4.5,2.0,2.5,2.5,24.0
340,The Hat,7.99,3.0,34.0,30.0,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,34.0
341,The Eensy Weensy Spider Freaks Out! (Big-Time!),6.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
342,Nancy Carlson Picture Books -  Think Big!,8.83,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
343,Who Can?,7.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
344,"Hop, Pop, and Play",3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
345,Trucks to the Rescue!,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
346,"Duck & Goose - Duck & Goose, Find a Pumpkin",5.99,2.0,22.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,22.0
347,Curious George - Curious George and the Bunny (Read-Aloud),4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
348,The Vole Brothers,8.99,2.0,28.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
349,The Wizard of Oz: Ladybird First Favourite Tales,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
350,Anne of Green Gables - Anne's Alphabet,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
351,Count Your Chickens,10.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
352,Der kleine König in Amerika,5.99,2.0,,,no reviews,no language,vanaf 2 jaar,,,2.5,2.5,
353,Ten Hungry Pigs,16.69,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
354,Read Along 4 -  One Clucky Hen,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
355,Bobo Siebenschläfer: Abenteuer zum Vorlesen ab 2 Jahre 2 - Bobo Siebenschläfer macht munter weiter,6.99,3.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
356,"Tale of Two Bad Mice, The The",4.9,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
357,Little Blossom Stories -  The Case of the Lost Cat,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
358,Löffel und seine Freunde,9.99,2.0,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
359,Way Down Deep In the Jungle,9.81,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
360,The Sleepy Little Alphabet,7.99,2.0,40.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,40.0
361,Abby's Busy Day in Pre-K,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
362,Maine ABC,10.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
363,Sweet Baby Feet,8.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
364,Pictureback(R) - The Truck Book,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
365,Toesy Toes,7.99,2.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
366,Knock Knock Alien,3.99,3.0,32.0,32.0,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,32.0
367,Zwerg Apfel und seine Freunde,10.99,2.0,,110.0,no reviews,Duits,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,110.0
368,Punk-A-Saurus,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
369,No Honking Allowed,11.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
370,Leaf Dance,4.46,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
371,Gina-Mama und ihre sieben rabenschwarzen Monsterchen,6.49,2.0,,54.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,54.0
372,The Loud Book!,4.99,4.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
373,Animal & Pet Books for Kids -  Ups & Downs at the Boardwalk: A Picture Book of Opposites,2.84,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
374,Topsy and Tim - Topsy and Tim: The New Baby,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
375,A Letter to Amy,6.99,4.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
376,The Hat That Zack Loves,6.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
377,Benny's Amazing Shark Teeth,4.99,2.0,,24.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
378,Checkers and Dot 2 - Checkers and Dot at the Zoo,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
379,Curious George - Curious George's First Day of School (Read-Aloud),3.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
380,Bambi,14.99,5.0,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
381,One House,7.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
382,Arthur Jumps into Fall,5.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
383,10 Easter Egg Hunters,4.99,2.0,26.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,26.0
384,Bambi,0.99,5.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
385,The New Pony,3.99,3.0,,16.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,16.0
386,Katy and the Big Snow,4.99,4.0,38.0,40.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,38.0
387,Baby Pig Pig Talks,4.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
388,Bus! Stop!,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
389,"In, Over and On the Farm",6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
390,Tomo's Adventure Series -  Tomo Explores the World,8.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
391,Bear Sees Colors,12.29,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
392,Anne of Green Gables - Anne's Numbers,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
393,The Royal Tea Party,9.99,4.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
394,Ready For Series - Ready for Autumn,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
395,Kleiner Ritter Milchling,4.99,2.0,,34.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,34.0
396,LESEMAUS: Max und der Wackelzahn,2.99,,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
397,Kids from A-Z,4.99,2.0,,36.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
398,Anne of Green Gables - Anne's Feelings,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
399,My Bike,10.99,2.0,40.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,40.0
400,Bugs,3.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
401,Canada Concepts -  ABC of Toronto,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
402,Der Flügelpeter,8.49,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
403,Planes Go,6.53,2.0,16.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,16.0
404,Little Golden Book - Baby Farm Animals,4.99,5.0,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
405,The Tale of Two Bad Mice,0.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
406,PA PA LA PAP,1.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
407,Teddy Jumbo,8.49,2.0,,64.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,64.0
408,Das Regenbogenschüsselchen,3.99,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
409,My First Bob Books: Alphabet,8.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
410,Today I'm a... -  Today I'm a Race Car Driver,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
411,Toesy Toes Read-Along,8.99,4.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
412,Ladybird Tales: The Little Mermaid,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
413,Big Bug,8.94,3.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
414,Apple and the Alphabet Fruits,4.99,2.0,,42.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,42.0
415,"Little Red Train - Little Red Train: Faster, Faster",6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
416,Ready Steady 2 - Ready Steady Rescue,3.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
417,Fancy Nancy - Fancy Nancy 10th Anniversary Edition,11.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
418,Pansy the Poodle Mystery Series 5 -  Pansy in London,9.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
419,Alphabet Zoo,9.8,3.0,64.0,64.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,64.0
420,Visiting the Family Farm,2.99,2.0,,46.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,46.0
421,The Magic Wizard,2.99,2.0,,36.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,36.0
422,Up and Down,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
423,Little Golden Book - The Fuzzy Duckling: Read & Listen Edition,7.66,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
424,Musk Ox 2 - Musk Ox Counts,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
425,Mouse's First Summer,10.05,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
426,Funny Faces,4.49,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
427,The Famous Four,4.99,2.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
428,Sleepover with Beatrice and Bear,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
429,Hip and Hop You Can Do Anything,7.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
430,Why I Love My Sister,12.2,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
431,The Sasquatch Hairdresser,3.99,2.0,,28.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,28.0
432,Alphabet Angel to the Rescue,2.42,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
433,Little Golden Book - My First Counting Book,4.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
434,Lots of Kisses,7.99,4.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
435,Wee Rebel -  Happy Punks 1 2 3,11.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
436,Geschichten aus dem Meer -Hugo und Lotta-,0.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
437,Herr Wolke und das magische Traum-Zauber-Salz,6.99,3.0,32.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,32.0
438,Over and Under the Snow,5.44,3.0,44.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,44.0
439,Knock Knock Dinosaur,4.49,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
440,Meg and Mog - Meg and Mog,5.49,4.0,,,"1,0/5 (1 review)",Engels,"0-12 maanden, vanaf 3 jaar",1.0,1.0,"0.5, 3.5",2.0,
441,Read Along 3 -  Green as a Bean,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
442,An Annoying ABC: Read & Listen Edition,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
443,Little Golden Book -  Margaret Wise Brown's Manners,4.99,2.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
444,DLee's Bad Day,2.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
445,Once Upon a Tree,11.99,2.0,40.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,40.0
446,Sakura's Cherry Blossoms,11.99,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
447,"Basic Concepts -  Duck, Duck, Goose",4.9,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
448,Pickles and Cake,2.99,2.0,,46.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,46.0
449,A Book of Babies: Read & Listen Edition,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
450,Little Blossom Stories -  Sam and Jen Get a Pet,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
451,Die Händlerin der Worte,6.99,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
452,Little Golden Book - I'm Not Sleepy,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
453,Fort-Building Time,7.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
454,The Feel Brave Series -  The Grand Wolf,8.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
455,Topsy and Tim: Visit London,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
456,Mog’s Amazing Birthday Caper: ABC,8.7,4.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
457,Das Märchen vom Wasserschloss,3.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
458,My Reading Neighborhood: First-Grade Sight Word Stories -  Ana and the Rainy Day,5.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
459,All Change!,4.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
460,"Fein, jetzt konnen wir Freunde sein!",4.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
461,Dachs-und-Maus-Geschichten 1 -  Dachs und Maus mit Opa Elefant und dem Fahrrad in die Welt,2.99,2.0,,126.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,126.0
462,Kitten Series -  Kitten’s Summer,4.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
463,Red Truck and Friends - Yellow Copter,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
464,What Pete Ate from A to Z,5.99,2.0,48.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,48.0
465,The Hill and the Rock,9.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
466,"One, Two, Three",8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
467,Topsy and Tim - Topsy and Tim: Go on an Aeroplane,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
468,One Some Many,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
469,Ms. Misery,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
470,Du sollst mein Begleiter sein,6.99,2.0,,98.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,98.0
471,Dinosaur Countdown,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
472,Is denn al Wiehnachten?,5.99,2.0,,68.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,68.0
473,Baby Pig Pig Walks,4.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
474,Mike Mulligan and More,17.67,3.0,208.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,208.0
475,The Little Engine That Could - The Little Engine That Could,5.34,3.0,48.0,,"5,0/5 (1 review)",Engels,vanaf 3 jaar,5.0,1.0,3.5,3.5,48.0
476,The Elephant and the Bad Baby,6.49,3.0,17.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,17.0
477,Allah Gave Me a Nose to Smell,2.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
478,M Is for Maple Leafs,12.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
479,Pinkalicious - Pinkalicious ABC,5.89,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
480,Basic Concepts -  Count On It,4.9,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
481,Thumpy Feet,5.99,2.0,1.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,1.0
482,Faustdick hinter den Flügeln,2.49,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
483,Landon Books 1 -  Landon Rides the Subway,3.26,3.0,24.0,24.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
484,Counting Christmas,8.94,2.0,30.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,30.0
485,Ready For Series - Ready for Spring,5.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
486,Giant Jelly Jaws and The Pirates (Read Aloud),9.51,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
487,When Your Elephant Comes to Play,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
