,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
1007,You Hold Me Up Read-Along,8.99,5.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1008,Richard Scarry's Best Little Board Book Ever,4.78,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
1009,Une histoire de fleurs,2.99,2.0,,,no reviews,Frans,vanaf 3 jaar,,,3.5,3.5,
1010,Entchen Tollpatsch vom Bodensee,4.49,2.0,,50.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,50.0
1011,Little Blossom Stories -  Tim and His Bat,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1012,Snow Penguin,6.99,4.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1013,Little Sleepyhead,7.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
1014,Little Golden Book - How the Zebra Got Its Stripes,4.99,2.0,24.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,24.0
1015,Guyku,4.99,2.0,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,
1016,Big Book of Nursery Rhymes,9.49,2.0,48.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,48.0
1017,Apple,6.99,3.0,30.0,,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,30.0
1018,Erwin der kleine Rabe,0.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
1019,Love You More Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
1020,"Myriel, Abenteuer einer Gartenelfe, mit Begleitbuch für Eltern",7.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
1021,Sassy - Baby's First Words,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1022,Where's My Fnurgle?,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
1023,I Can Read 1 - Splat the Cat: Twice the Mice,2.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
